,price,bd_num,ba_num,sqft,address,zestimate,Building,Calendar,Heating,Snowflake,Parking,Lot,PriceSquareFeet,url,zipcode
108,"$1,200,000",5,6,--,"2119 Sarah St,Pittsburgh, PA 15203",None ,Single family residence,,"Natural gas, hot water","Central air, wall unit(s)",2 Parking spaces,"4,080 sqft",,https://www.zillow.com/homedetails/2119-Sarah-St-Pittsburgh-PA-15203/2069262815_zpid/,15203
109,"$199,900",3,3,--,"2526 Mission St,Pittsburgh, PA 15203","$195,600",Single family residence,Built in 1911,Natural gas,No data,Open parking,No data,,https://www.zillow.com/homedetails/2526-Mission-St-Pittsburgh-PA-15203/11307478_zpid/,15203
110,"$449,900",2,3,"1,780","1934 Josephine St,Pittsburgh, PA 15203","$434,600",Single family residence,Built in 2008,Natural gas,Central air,Attached garage,No data,$253 price/sqft,https://www.zillow.com/homedetails/1934-Josephine-St-Pittsburgh-PA-15203/104361185_zpid/,15203
111,"$130,000",2,2,792,"59 Gregory St,Pittsburgh, PA 15203","$123,100",Single family residence,Built in 1900,Natural gas,No data,Open parking,"1,393 sqft",$164 price/sqft,https://www.zillow.com/homedetails/59-Gregory-St-Pittsburgh-PA-15203/11291855_zpid/,15203
112,"$295,000",--,--,--,"1202 Sarah St,Pittsburgh, PA 15203",None ,Duplex,Built in 1950,No data,No data,Open parking,,,https://www.zillow.com/homedetails/1202-Sarah-St-Pittsburgh-PA-15203/2066976478_zpid/,15203
113,"$270,001",3,2,--,"59 S 16th St,Pittsburgh, PA 15203","$265,200",Single family residence,Built in 1900,"Natural gas, hot water",Window a/c,Open parking,"1,197 sqft",,https://www.zillow.com/homedetails/59-S-16th-St-Pittsburgh-PA-15203/11290519_zpid/,15203
114,"$245,000",3,2,"1,582","2222 Carey Way,Pittsburgh, PA 15203","$241,000",Single family residence,Built in 1900,"Natural gas, forced air",Central air,Open parking,"1,200 sqft",$155 price/sqft,https://www.zillow.com/homedetails/2222-Carey-Way-Pittsburgh-PA-15203/11291552_zpid/,15203
115,"$399,990",5,3,--,"81 Pius St,Pittsburgh, PA 15203","$385,000",Single family residence,Built in 1900,"Natural gas, forced air","Central air, window a/c",1 Open parking space,"3,700 sqft",,https://www.zillow.com/homedetails/81-Pius-St-Pittsburgh-PA-15203/11291794_zpid/,15203
116,"$265,000",3,3,"1,657","143 S 19th St,Pittsburgh, PA 15203","$258,900",Singlefamily,Built in 1900,Other,Central,No data,779 Sqft,$160 price/sqft,https://www.zillow.com/homedetails/143-S-19th-St-Pittsburgh-PA-15203/11291187_zpid/,15203
117,"$90,000",2,2,"1,216","3016 Mary St,Pittsburgh, PA 15203","$80,900",Single family residence,Built in 1915,"Natural gas, forced air","Central air, electric",2 Parking spaces,"2,400 sqft",$74 price/sqft,https://www.zillow.com/homedetails/3016-Mary-St-Pittsburgh-PA-15203/11427057_zpid/,15203
